,tokens,ner_tags
10,"['Such', 'policies', 'contribute', 'to', 'efforts', 'to', 'consolidate', 'the', 'principles', 'of', 'tolerance', ',', 'moderation', 'and', 'the', 'rejection', 'of', 'fanaticism', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['Based', 'upon', 'the', 'State', 'of', 'Kuwait', ""'s"", 'absolute', 'belief', 'in', 'the', 'human', 'values', 'of', 'supporting', 'the', 'downtrodden', 'and', 'helping', 'the', 'needy', ',', 'my', 'country', 'has', ',', 'since', 'its', 'independence', ',', 'implemented', 'a', 'generous', 'aid', 'programme', 'for', 'developing', 'countries', '.']","['O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['In', '1961', ',', 'it', 'established', 'the', 'Kuwait', 'Fund', 'for', 'Arab', 'Economic', 'Development', ',', 'which', 'has', 'financed', 'hundreds', 'of', 'infrastructure', 'projects', 'in', 'more', 'than', '100', 'countries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['The', 'value', 'of', 'those', 'projects', 'exceeds', '$12', 'billion', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['The', 'State', 'of', 'Kuwait', 'is', 'also', 'committed', 'to', 'providing', 'annual', 'voluntary', 'contributions', 'to', 'numerous', 'international', 'specialized', 'agencies', 'and', 'organizations', ',', 'as', 'well', 'as', 'to', 'regional', 'organizations', 'and', 'funds', 'that', 'assist', 'developing', 'countries', 'in', 'achieving', 'their', 'development', 'goals', '.']","['O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Recently', ',', 'the', 'State', 'of', 'Kuwait', 'allocated', '$300', 'million', 'to', 'the', 'Islamic', 'Development', 'Bank', 'for', 'the', 'elimination', 'of', 'poverty', 'in', 'Africa', '.']","['O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O']"
16,"['That', 'is', 'in', 'addition', 'to', 'what', 'we', 'contribute', 'in', 'humanitarian', 'and', 'relief', 'aid', 'to', 'many', 'countries', 'ravaged', 'by', 'natural', 'disasters', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['It', 'is', 'regrettable', 'that', 'poverty', ',', 'hunger', 'and', 'disease', 'persist', 'in', 'developing', 'countries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['It', 'is', 'even', 'more', 'painful', 'to', 'see', 'that', 'more', 'than', 'half', 'of', 'the', 'world', ""'s"", 'population', 'is', 'living', 'on', 'less', 'than', '$2', 'per', 'day', '—', 'a', 'matter', 'that', 'requires', 'serious', 'examination', 'and', 'a', 'real', 'review', 'of', 'the', 'impediments', 'to', 'development', 'in', 'developing', 'countries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['In', 'that', 'connection', ',', 'the', 'State', 'of', 'Kuwait', 'calls', 'upon', 'the', 'World', 'Trade', 'Organization', 'and', 'the', 'Bretton', 'Woods', 'institutions', 'to', 'ease', 'the', 'restrictions', 'imposed', 'on', 'exports', 'from', 'developing', 'countries', 'and', 'to', 'propose', 'a', 'more', 'just', 'and', 'equitable', 'trading', 'system', 'for', 'least', 'developed', 'and', 'poorest', 'countries', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Kuwait', 'is', 'following', 'with', 'concern', 'the', 'developments', 'in', 'the', 'situation', 'in', 'Iraq', '.']","['I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O']"
21,"['We', 'welcome', 'the', 'improvements', 'in', 'security', 'conditions', 'in', 'some', 'areas', 'and', 'provinces', 'of', 'Iraq', ',', 'as', 'a', 'result', 'of', 'the', 'implementation', 'of', 'relevant', 'arrangements', 'and', 'a', 'security', 'enforcement', 'plan', 'carried', 'out', 'by', 'the', 'international', 'forces', 'in', 'Iraq', 'with', 'the', 'participation', 'of', 'Iraqi', 'security', 'forces', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O']"
22,"['But', 'there', 'is', 'still', 'a', 'dire', 'need', 'to', 'redouble', 'efforts', 'at', 'all', 'levels', ',', 'particularly', 'on', 'the', 'political', 'track', ',', 'in', 'order', 'to', 'address', 'the', 'security', 'challenges', 'posed', 'by', 'terrorist', 'operations', 'that', 'target', 'civilians', ',', 'houses', 'of', 'worship', 'and', 'State', 'institutions', 'and', 'that', 'cost', 'the', 'lives', 'of', 'scores', 'of', 'innocent', 'people', 'daily', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['It', 'is', 'our', 'hope', 'that', 'the', 'Iraqi', 'Government', ""'s"", 'efforts', 'to', 'achieve', 'national', 'reconciliation', 'will', 'be', 'successful', 'and', 'produce', 'positive', 'results', 'that', 'can', 'lead', 'to', 'a', 'comprehensive', 'national', 'consensus', 'in', 'Iraq', 'that', 'takes', 'into', 'consideration', 'the', 'concerns', 'and', 'the', 'rights', 'of', 'all', 'sectors', 'of', 'the', 'Iraqi', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O']"
24,"['National', 'reconciliation', 'is', 'the', 'only', 'way', 'to', 'build', 'a', 'democratic', ',', 'free', ',', 'secure', 'and', 'independent', 'Iraq', 'that', 'is', 'at', 'peace', 'with', 'itself', 'and', 'its', 'neighbours', 'and', 'that', 'respects', 'its', 'international', 'obligations', 'and', 'commitments', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['In', 'that', 'context', ',', 'we', 'welcome', 'the', 'adoption', 'of', 'Security', 'Council', 'resolution', '1770', '(', '2007', ')', ',', 'which', 'consolidated', 'the', 'duties', 'and', 'the', 'mandate', 'of', 'the', 'United', 'Nations', 'Assistance', 'Mission', 'for', 'Iraq', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', '0', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'I-LOC', 'O']"
26,"['We', 'look', 'forward', 'to', 'the', 'international', 'community', 'playing', 'its', 'vital', 'role', 'in', 'helping', 'Iraq', 'to', 'fulfil', 'its', 'political', 'and', 'economic', 'obligations', 'within', 'the', 'context', 'of', 'the', 'International', 'Compact', 'with', 'Iraq', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'O', 'I-LOC', 'O']"
27,"['With', 'regard', 'to', 'the', 'issue', 'of', 'the', 'three', 'occupied', 'Emirati', 'islands', ',', 'Kuwait', 'would', 'like', 'to', 'reaffirm', 'its', 'support', 'for', 'the', 'position', 'of', 'the', 'Gulf', 'Cooperation', 'Council', 'on', 'this', 'issue', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
28,"['We', 'hope', 'that', 'efforts', 'and', 'contacts', 'at', 'all', 'levels', 'will', 'intensify', 'between', 'the', 'sisterly', 'United', 'Arab', 'Emirates', 'and', 'the', 'friendly', 'Islamic', 'Republic', 'of', 'Iran', 'in', 'order', 'to', 'find', 'a', 'solution', 'to', 'this', 'dispute', 'consistent', 'with', 'the', 'principles', 'and', 'rules', 'of', 'international', 'law', 'and', 'good-neighbourly', 'relations', ',', 'thereby', 'contributing', 'to', 'strengthening', 'the', 'security', 'and', 'stability', 'of', 'the', 'region', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['The', 'Middle', 'East', 'crisis', 'has', 'been', 'stagnant', 'since', 'the', 'middle', 'of', 'the', 'past', 'century', '.']","['O', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"['The', 'plight', 'of', 'the', 'Palestinian', 'people', 'continues:', 'their', 'rights', 'are', 'violated', ',', 'their', 'lands', 'are', 'occupied', 'and', 'Security', 'Council', 'resolutions', 'are', 'frozen', '—', 'despite', 'intensive', 'international', 'and', 'regional', 'efforts', 'to', 'revive', 'the', 'Middle', 'East', 'peace', 'process', '.']","['O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'I-LOC', 'O', 'O', 'O']"
31,"['The', 'Israeli', 'Government', ',', 'instead', 'of', 'putting', 'confidence-building', 'measures', 'in', 'place', ',', 'continues', 'to', 'create', 'obstacles', 'that', 'serve', 'to', 'increase', 'tensions', 'and', 'violence', 'and', 'that', 'hinder', 'the', 'establishment', 'of', 'a', 'climate', 'conducive', 'to', 'moving', 'the', 'peace', 'process', 'ahead', '.']","['O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['Do', 'continuing', 'settlement', 'activities', 'help', 'to', 'achieve', 'peace', 'more', 'quickly', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['Do', 'the', 'policies', 'of', 'detention', ',', 'land', 'confiscation', ',', 'curfews', ',', 'closures', 'and', 'restrictions', 'of', 'movement', 'promote', 'an', 'environment', 'of', 'trust', 'and', 'stability', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['The', 'answer', 'is', 'definitely', 'no', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
35,"['Who', 'could', 'think', 'that', 'this', 'conflict', 'is', 'subject', 'to', 'the', 'principles', 'of', 'a', 'zero-sum', 'game', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['Anyone', 'who', 'thinks', 'that', 'Israel', 'will', 'achieve', 'security', 'for', 'itself', 'at', 'the', 'expense', 'of', 'the', 'security', 'of', 'the', 'Palestinian', 'people', 'is', 'making', 'a', 'serious', 'mistake', '.']","['O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['Security', 'must', 'be', 'for', 'everyone', '.']","['I-ORG', 'O', 'O', 'O', 'O', 'O']"
38,"['There', 'will', 'be', 'no', 'security', 'except', 'through', 'the', 'implementation', 'of', 'resolutions', 'of', 'international', 'legitimacy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,"['The', 'State', 'of', 'Kuwait', 'therefore', 'reiterates', 'its', 'support', 'for', 'the', 'convening', 'of', 'an', 'international', 'conference', 'with', 'the', 'participation', 'of', 'all', 'the', 'parties', 'concerned', 'in', 'the', 'peace', 'process', '.']","['O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"['That', 'meeting', 'should', 'follow', 'the', 'terms', 'of', 'reference', 'of', 'the', 'Madrid', 'Conference', '—', 'including', 'the', 'provisions', 'of', 'Security', 'Council', 'resolutions', '242', '(', '1967', ')', 'and', '338', '(', '1973', ')', '—', 'the', 'principle', 'of', 'land', 'for', 'peace', ',', 'the', 'Road', 'Map', 'endorsed', 'by', 'the', 'Security', 'Council', 'in', 'its', 'resolution', '1515', '(', '2003', ')', 'and', 'the', 'Arab', 'Peace', 'Initiative', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-MISC', 'I-MISC', 'O']"
41,"['The', 'comprehensive', ',', 'just', 'and', 'lasting', 'peace', 'that', 'the', 'international', 'community', 'seeks', 'to', 'achieve', 'must', 'ensure', 'that', 'the', 'Palestinian', 'people', 'attain', 'all', 'their', 'legitimate', 'political', 'rights', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['That', 'includes', 'the', 'establishment', 'of', 'their', 'own', 'independent', 'State', 'on', 'their', 'own', 'land', ',', 'with', 'Jerusalem', 'as', 'its', 'capital', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O']"
43,"['It', 'must', 'also', 'include', 'Israel', ""'s"", 'withdrawal', 'from', 'all', 'the', 'Arab', 'land', 'occupied', 'since', '1967', ',', 'including', 'the', 'Syrian', 'Golan', 'Heights', '.']","['O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'I-LOC', 'I-LOC', 'O']"
44,"['Turning', 'to', 'Lebanon', ',', 'we', 'congratulate', 'the', 'Lebanese', 'Government', 'on', 'its', 'success', 'in', 'putting', 'a', 'decisive', 'end', 'to', 'the', 'Nahr', 'Al-Bared', 'sedition', '.']","['O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-PER', 'I-PER', 'O', 'O']"
45,"['We', 'would', 'also', 'like', 'to', 'express', 'our', 'gratitude', 'to', 'the', 'Lebanese', 'army', ',', 'which', 'dealt', 'with', 'that', 'sedition', 'ably', 'and', 'firmly', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['We', 'hope', 'that', 'that', 'accomplishment', 'will', 'contribute', 'to', 'the', 'return', 'of', 'all', 'Lebanese', 'parties', 'to', 'the', 'negotiating', 'table', 'and', 'the', 'resumption', 'of', 'a', 'Lebanese', 'national', 'dialogue', 'to', 'address', 'the', 'issue', 'of', 'presidential', 'entitlement', 'and', 'the', 'political', 'process', ',', 'in', 'accordance', 'with', 'the', 'constitution', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,"['While', 'we', 'commend', 'the', 'regional', 'and', 'international', 'efforts', 'to', 'achieve', 'national', 'reconciliation', 'among', 'all', 'Lebanese', 'parties', ',', 'we', 'condemn', 'the', 'political', 'assassinations', 'and', 'the', 'recurrent', 'terrorist', 'bombings', 'aimed', 'at', 'disrupting', 'peace', 'and', 'stability', 'in', 'that', 'sisterly', 'country', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['We', 'renew', 'Kuwait', ""'s"", 'commitment', 'to', 'stand', 'by', 'Lebanon', 'and', 'to', 'support', 'it', 'in', 'a', 'manner', 'that', 'will', 'preserve', 'its', 'security', ',', 'unity', ',', 'territorial', 'integrity', 'and', 'political', 'independence', '.']","['O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
